id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,Entire home/apt,Hotel room,Private room,Shared room,neighbourhood_labels
11031691,249,7,0,0.0,0,1,1,0,0,0,5
11031871,813,3,24,0.49,25,5,1,0,0,0,3
11032367,1936,5,1,0.02,0,1,1,0,0,0,6
11034209,199,1,0,0.0,0,1,1,0,0,0,1
11034905,1106,5,0,0.0,0,1,1,0,0,0,6
11035976,1300,3,72,1.46,333,5,1,0,0,0,3
11036736,133,5,1,0.02,0,1,0,0,1,0,3
11036784,913,6,0,0.0,0,1,1,0,0,0,3
11037099,564,3,72,1.4,150,5,1,0,0,0,3
11037570,183,5,0,0.0,0,1,1,0,0,0,3
11037599,551,2,58,1.17,0,6,1,0,0,0,6
11038849,1217,1,0,0.0,0,1,1,0,0,0,3
11040255,1001,1,0,0.0,0,1,1,0,0,0,9
11040423,242,1,3,0.07,365,1,0,0,1,0,5
11044098,698,4,14,0.28,363,2,1,0,0,0,8
11046162,97,5,0,0.0,363,1,0,0,1,0,8
11046268,77,1,0,0.0,0,5,0,0,1,0,3
11047074,1383,1,0,0.0,365,3,1,0,0,0,3
11051931,88,1,7,0.13,365,6,0,0,0,1,3
11053258,500,1,0,0.0,365,1,0,0,1,0,8
11054380,88,1,3,0.06,365,6,0,0,0,1,3
11054512,100,30,24,0.67,0,1,1,0,0,0,3
11056315,49,5,0,0.0,361,4,1,0,0,0,9
11059754,199,1,3,0.07,0,1,0,0,1,0,6
11060579,288,1,4,0.23,365,1,0,0,1,0,3
11060832,1217,5,0,0.0,0,2,1,0,0,0,5
11061112,249,1,32,0.61,144,3,0,0,1,0,9
11062382,299,1,0,0.0,0,2,1,0,0,0,5
11062535,348,1,9,0.19,0,2,1,0,0,0,3
11063136,149,1,0,0.0,0,1,1,0,0,0,9
11063262,88,2,22,0.54,85,1,1,0,0,0,6
11065447,83,1,4,0.08,0,1,0,0,1,0,2
11066505,1001,7,0,0.0,0,1,1,0,0,0,6
